timestamp,name,price,price_min,price_max,price_min_before_discount,price_max_before_discount,itemid
2023-06-18 16:44:47,Nước Rửa Chén Bát Sunlight Trà Xanh Nhật Bản 3.6kg,11900000000,11900000000,11900000000,12395000000,12395000000,2413374919.0
2023-06-18 16:44:48,Combo 2 Nước xả vải Comfort Cho Da Nhạy Cảm Túi 3.8L - Phù hợp với cả em bé,44500000000,44500000000,44500000000,53400000000,53400000000,11301764966.0
2023-06-18 16:44:48,Combo 3 Viên Tẩy Bồn Cầu Vim Power 5 Sạch Khuẩn Thơm Mát (55g/viên),7800000000,7800000000,7800000000,8400000000,8400000000,8852008159.0
2023-06-18 16:44:48,Combo 2 Túi Nước Giặt Omo Matic Baby Cho Quần Áo Bé Yêu 3.6kg/túi,36300000000,36300000000,36300000000,45400000000,45400000000,12447308191.0
2023-06-18 16:44:48,"Combo 2 Nước lau đa năng Sunlight Chanh & Sả|Phiên bản nâng cấp từ Cif|Sạch bóng kin kít, không nhờn rít|Chai 500ml",6400000000,6400000000,6400000000,6800000000,6800000000,18662336724.0
2023-06-18 16:44:48,[HC GIFT] - Nước Rửa Chén Bát Sunlight Thiên Nhiên Muối Khoáng & Lô Hội | Chai 700G,50000000000,50000000000,50000000000,-1,-1,19876626595.0
2023-06-18 16:44:48,Nước lau sàn Sunlight Tinh dầu thảo mộc Ngăn côn trùng | Hương Quế & Cam Bergamot | Túi 3.4 KG,7000000000,7000000000,7000000000,7400000000,7400000000,18249909471.0
2023-06-18 16:44:48,[HC GIFT] Hộp 2 Viên Nén Vệ Sinh Lồng Giặt OMO Matic 40gr,4250000000,4250000000,4250000000,-1,-1,3363383868.0
2023-06-18 16:44:48,Combo 2 túi nước giặt dưỡng vải Comfort hương Thời Thượng 3.6kg,31900000000,31900000000,31900000000,36800000000,36800000000,15101622121.0
2023-06-18 16:44:48,Nước Lau Sàn Sunlight Thiên Nhiên 3.6kg,8900000000,8900000000,8900000000,10000000000,10000000000,5751900044.0
2023-06-18 16:44:48,Combo 2 túi nước giặt dưỡng vải Comfort hương Thanh Lịch túi 3.6kg,31900000000,31900000000,31900000000,36800000000,36800000000,11173060894.0
2023-06-18 16:44:48,Nước Lau Sàn Sunlight Tinh Dầu Thảo Mộc Hoa Hạ Và Bạc Hà - 3.6 Kg,8900000000,8900000000,8900000000,9300000000,9300000000,9478414915.0
2023-06-18 16:44:48,Nước lau sàn Sunlight Tinh dầu thảo mộc Ngăn côn trùng | Hương Quế & Cam Bergamot | Chai 3.6 KG,8900000000,8900000000,8900000000,9300000000,9300000000,16386358809.0
2023-06-18 16:44:48,Combo 2 Túi Viên Giặt Tiện Lợi OMO Công Nghệ Anh Quốc - Bền Màu (17 Viên/Túi),21500000000,21500000000,21500000000,28000000000,28000000000,15209947091.0
2023-06-18 16:44:48,Combo 2 Kem tẩy chuyên dụng Sunlight|Phiên bản nâng cấp từ Cif|Siêu sạch Siêu sáng|Chai 690g,6400000000,6400000000,6400000000,6800000000,6800000000,23105368668.0
2023-06-18 16:44:48,Combo 12 Viên Nén Vệ Sinh Lồng Giặt OMO Matic (20gr/viên),23000000000,23000000000,23000000000,27600000000,27600000000,5863461864.0
2023-06-18 16:44:48,[FMCGMALL -8% ĐH 250K] Combo 2 Túi Nước giặt OMO Matic chuyên dụng Cửa Trước Bền Màu với tinh chất Lựu Tre 3.6kg/túi,36300000000,36300000000,36300000000,42800000000,42800000000,10569761583.0
2023-06-18 16:44:48,Combo Túi Nước Giặt Omo Matic Baby 3.6kg + Nước xả vải Comfort Cho Da Nhạy Cảm Túi 3.8L,43100000000,43100000000,43100000000,51200000000,51200000000,13947293890.0
2023-06-18 16:44:48,[HC GIFT] - Nước lau sàn Sunlight Tinh dầu Thảo mộc Ngăn côn trùng |Hương Quế & Cam Bergamot | Chai 900g,50000000000,50000000000,50000000000,-1,-1,23133565009.0
2023-06-18 16:44:48,"Combo 2 Nước lau kính Sunlight Siêu nhanh|Phiên bản nâng cấp từ Cif|Sạch trong suốt, không tỳ vết|Chai 520ml",5200000000,5200000000,5200000000,5400000000,5400000000,21562333096.0
